Date,PM2.5,PM10,NO,NO2,NH3,SO2,CO,Ozone,Temp,RH,WS,WD,SR,BP,AT,AQI
31-05-2022,84.44,364.8,1.54,28.46,1.63,42.79,0.8,57.42,30.51,49.05,1.21,101.65,155.52,740.87,37.24,318.5
01-06-2022,94.66,351.48,1.6,24.89,1.27,34.89,0.79,77.02,29.29,41.18,1.67,67.95,147.08,741,40.51,301.85
02-06-2022,64.01,276.51,1.69,29.81,1.25,34.74,1.08,51.47,30.12,38.58,0.87,96.25,103.33,741,39.1,226.51
03-06-2022,61.25,286.13,1.78,25.09,1.91,55.07,0.9,84.29,27.93,31.66,2.3,85.66,227.81,741,42.54,236.13
04-06-2022,74.14,270.06,1.52,22.82,1.41,37.5,0.71,80.26,29.07,34.56,1.36,74.92,161.93,740.78,37.76,220.06
05-06-2022,51.65,291.45,1.45,17.5,2.19,39.37,0.83,74.25,28.64,29.99,1.74,77.1,162.4,740.97,40.62,241.45
06-06-2022,42.77,254.26,1.59,22.08,2.14,37.52,0.69,75.8,29.18,29.53,1.63,51.26,169.27,740.78,40.12,204.26
07-06-2022,77.4,474.47,1.56,18.33,2.63,32.48,0.75,64.95,28.49,30.61,2.15,99.14,146.03,740.66,41,455.5875
08-06-2022,57.93,457.64,1.48,18.22,2.65,34.87,0.83,55.41,28.27,28.65,2.66,80.15,150.03,740.66,41.32,434.55
09-06-2022,49.08,311.31,1.68,15.47,2.51,33.18,0.87,64.85,28.96,31.73,2.07,85.29,154.59,740.46,40.73,261.31
10-06-2022,57.46,405.61,1.63,16.73,2.96,35.49,0.84,50.52,28.39,32.15,2.29,69.47,150.96,740.52,41.77,369.5125
11-06-2022,48.88,351.09,1.7,17.74,3.06,33.2,0.73,48.78,28.3,30.33,2.51,62.68,159.23,740.57,41.14,301.3625
12-06-2022,53.96,322.82,1.77,17.07,2.72,32.71,0.68,62.87,28,30.43,2.41,64.48,160.1,740.9,41.6,272.82
13-06-2022,37.57,255.79,1.81,11.06,3.8,30.08,0.96,70.07,28.8,34.68,2.4,66.47,106.62,741,41.88,205.79
14-06-2022,38.1,267.18,1.7,11.47,3.67,33.33,1.17,60.8,28.72,37.48,3.22,74.81,123.94,741,40.82,217.18
15-06-2022,23.35,156.86,1.8,10.21,4.15,37.54,1.15,68.62,31.2,39.17,3.43,77.12,158.4,740.87,40.89,137.9066667
16-06-2022,26.53,179.38,1.81,10.56,4.01,34.03,1.01,81.31,31.01,42.78,3.86,80.03,156.26,740.9,38.07,152.92
17-06-2022,25.75,72.15,1.8,11.26,4.02,36.64,1.32,51.74,31.63,61.4,2.93,92.4,117.39,740.98,31.91,72.15
18-06-2022,28.53,57.39,1.82,10.45,4.24,35.03,1.27,61.74,31.57,61.86,3,110.59,238.57,741,32.59,63.5
19-06-2022,53.35,110.1,1.94,12,3.53,32.6,0.94,56.87,31.72,62.63,1.29,47.17,115.91,741,31.61,106.7333333
20-06-2022,45.33,121.43,1.89,12.46,3.36,36.99,1.08,61.29,31.54,59.47,1.23,50.49,98.13,740.78,32.5,114.2866667
21-06-2022,93.59,178.43,1.81,12,3.44,33.25,0.7,48.71,31.79,63.27,1.15,49.69,107.22,740.51,30.95,211.9666667
22-06-2022,66.27,212.64,1.32,15.95,1.94,30.83,1.17,38.75,34.06,56.09,0.44,96.18,8,741,33.5,175.0933333
23-06-2022,47.07,192.57,1.77,12.58,2.96,28.03,0.72,91.92,33.88,45.22,3.64,79.3,170.76,741,36.8,161.7133333
24-06-2022,61.62,246.91,1.67,15.73,2.4,30.92,0.8,93.44,30.02,40.07,2.43,80.91,175.73,741,36.82,197.94
25-06-2022,98.27,266.12,1.83,15.11,2.44,32.08,0.59,95.16,30.33,39.39,1.62,94.17,172.52,740.81,38.2,227.5666667
26-06-2022,48.76,136.98,1.88,10.16,4.24,30.43,0.67,78.01,30.53,50.43,4.19,133.82,153.98,741,38.82,124.6533333
27-06-2022,44.41,118.88,2.06,9.78,4.39,29.75,0.81,62.54,30.66,52.89,4.47,142.39,184.02,741,38.41,112.5866667
28-06-2022,72.88,179.95,1.47,11.64,4.42,22.15,0.44,77.46,30.15,50.7,3.92,141.67,94.22,740.17,41.48,153.3
29-06-2022,39.86,130.02,1.34,11.11,4.53,36.62,1.23,57.14,30.36,58.12,3.68,132.84,107.92,740,36.93,120.0133333
30-06-2022,17.59,44.07,1.43,11.49,4.32,31.67,0.7,51.63,31.84,72.72,2.67,133.25,35.91,740.56,30.37,51.63
01-07-2022,26.52,56.5,1.45,12.04,4.14,32.11,0.8,45.53,31.69,72.82,1.67,133.08,75.35,740.66,31.32,56.5
02-07-2022,35.64,73.06,1.51,11.52,4.26,30.09,0.59,48.2,31.19,67.64,2.68,123.18,121.4,740.3,34.12,73.06
03-07-2022,21.21,45.26,1.46,11.18,4.29,30.42,0.95,54.3,31.09,67.76,2.59,119.55,114.03,740.64,34.01,54.3
04-07-2022,26.61,58.82,1.4,12.08,4.09,30.97,0.87,36.24,31.32,69.56,0.86,143.19,91.51,741,34.03,58.82
05-07-2022,39.04,80.46,1.33,11.84,4.14,32.43,0.71,61.09,30.39,59.32,2.81,126.33,167.62,740.7,39.08,80.46
06-07-2022,40.55,85.74,1.47,11.27,4.13,29.48,0.78,60.58,30.54,59.06,3.58,139.47,149.61,741,38.88,85.74
07-07-2022,37.71,81.31,1.52,10.65,4.28,32.97,0.75,53.79,30.62,59.2,4.04,141.59,180.61,741,38.27,81.31
08-07-2022,21.87,81.27,1.44,18.86,3.35,28.77,0.84,55.55,29.79,48.18,1.88,139.12,86,741,41.01,81.27
09-07-2022,32.43,81.59,1.28,13.23,5.23,34.6,0.84,42.69,31.29,65.41,3.26,137.8,54.66,740.74,34.62,81.59
10-07-2022,30.79,64.66,1.41,12.12,4.47,28.35,0.89,43.24,31.24,65.92,2.21,115.93,113.28,740.99,34.77,64.66
11-07-2022,42.67,103.6,1.44,14.74,3.03,39.93,0.93,55.28,30.76,60.36,1.74,91.72,124.11,741,36.75,102.4
12-07-2022,39.29,88.58,1.37,15.63,2.68,31.95,0.71,35.93,29.73,68.51,1.48,95.11,70.13,740.91,33.7,88.58
13-07-2022,31.9,73.86,1.5,13.57,3.3,35.67,0.69,18.98,28.43,68.86,1.81,101.24,102.96,740.47,33.97,73.86
14-07-2022,25.87,70.19,1.42,13.14,3.54,39.06,0.88,19.4,28.8,66.99,2.67,109.72,110.84,740.37,34.82,70.19
15-07-2022,18.77,67.29,1.47,10.85,3.8,32.38,0.87,36.05,30.7,58.16,3.64,133.61,148.16,740.88,37.52,67.29
16-07-2022,15.59,42.3,1.53,9.93,4.17,35.65,0.97,33.29,30.73,70.51,2.25,122.57,59.99,740.97,32.67,48.5
17-07-2022,19.89,95.43,1.53,10.59,3.89,30.83,0.91,33.04,26.37,71.76,2.09,98.31,136.43,741,33.79,95.43
18-07-2022,34.52,97.29,1.39,11.68,3.66,41.08,0.98,11.27,25.96,63.15,1.87,101.55,130.64,741,37.32,97.29
19-07-2022,32.91,86.15,1.63,10.25,3.75,32.94,0.97,20.72,27.08,61.86,2.02,112.94,152.42,740.95,37.81,86.15
20-07-2022,22.83,51.49,1.83,8.21,3.96,24.11,0.84,15.43,29.08,73.4,1.87,124.22,60.92,740.76,32.62,51.49
21-07-2022,37.44,72.4,1.65,8.99,3.59,37.01,1.07,28.89,33.24,71.69,1.02,109.94,109.39,741,32.85,72.4
22-07-2022,38,75.5,1.92,8.12,3.7,31.69,0.71,23.47,31.73,75.02,1.32,138.69,93.14,741,32.36,75.5
23-07-2022,20.89,48.74,2.19,7.14,3.38,26.26,0.82,29.37,31.48,72.36,3.58,138.12,130.7,741,33.01,48.74
24-07-2022,18.15,48.15,1.73,7.85,3.05,30.54,0.89,34.38,31.25,67.29,3.82,135.08,113.43,741,34.49,48.15
25-07-2022,18.88,48.12,1.48,7.83,3.03,30.75,0.91,36.01,31.14,67.11,4.28,141.41,120.1,741,33.95,48.12
26-07-2022,19.51,39.45,1.64,7.78,3.03,27.67,0.9,35.83,31.24,68.84,3.71,143.99,117.89,741.01,33.13,45
27-07-2022,22.58,45.55,1.55,7.88,3.38,30.06,0.84,33.2,31.31,70.72,2.92,145.94,104.75,741.01,33.06,45.55
28-07-2022,10.44,29.53,1.55,7.99,3.72,31.51,0.86,30.22,31.59,72.02,1.48,105.79,115.23,741.15,32.27,43
29-07-2022,12.71,26.16,1.55,8.04,3.76,32.72,0.99,25.44,31.94,78.94,0.47,90.79,51.34,741.02,30.46,49.5
30-07-2022,14.96,45.09,1.5,7.8,3.74,30.38,0.94,34.59,31.62,73.54,0.68,73.08,120.34,741,32.48,47
31-07-2022,25,40,9.6,8.15,8.05,25.97,1.38,32.86,32.24,70.2,0.46,109.8,198.4,741,34.48,41.66666667
01-08-2022,18.79,73.57,1.64,8.43,3.6,32.27,1.05,47.92,30.84,63.16,0.61,72.24,182.29,741,36.23,73.57
02-08-2022,29.29,102.88,1.55,18.31,10.92,21.44,0.9,43.28,31.03,65.23,0.58,70.05,143,741,35.68,101.92
03-08-2022,44.68,106.2,1.33,14.38,18.49,22.03,1.2,46.16,31.33,68.13,0.61,135.56,104.36,741,34.87,104.1333333
04-08-2022,30.97,66.86,1.26,9.94,20.55,13.84,1,37.27,31.68,69.89,1.41,145.44,104.61,741,33.68,66.86
05-08-2022,28.78,67.66,1.14,11.54,15.51,11.98,0.95,30.84,31.81,72.56,1.56,141.03,93.07,741,33.05,67.66
06-08-2022,40.33,86.09,1.29,15.54,13.67,14.39,0.91,32.41,31.95,73.34,0.43,105.62,91.7,740.79,33.58,86.09
07-08-2022,25.74,44.59,1.47,9.95,14.89,9.12,0.85,28.23,32.31,78.41,0.93,141.68,42.69,740.8,30.47,44.59
08-08-2022,31.55,78.27,1.31,11.95,14.24,18.19,1.01,35.41,31.69,69.6,0.93,88.51,130.12,740.85,34.44,78.27
09-08-2022,25.3,62.67,1.35,9.97,12.34,14.91,0.82,35.11,31.25,65.12,1.79,139.49,124.36,740.84,36.71,62.67
10-08-2022,19.65,61.01,1.38,9.27,11.8,14.9,0.85,37.38,31.25,61.04,2.42,139.2,151.62,740.52,37.1,61.01
11-08-2022,13.9,45.54,1.33,7.24,11.54,13.28,1.16,28.28,32.06,68.99,2.82,117.42,49.97,740.85,32.32,58
12-08-2022,10.43,42.83,1.31,6.24,9.57,13.62,0.96,40.22,31.48,62.31,3.74,137.33,136.58,741,35.19,48
13-08-2022,22.9,52.48,1.38,8.78,8.9,14.39,1.47,41.68,31.58,67.72,2.91,148.51,90.79,741,34.39,73.5
14-08-2022,21.23,46.54,1.48,10.15,9.65,10.11,0.86,32.86,32.17,73.09,1.13,129.82,70.21,741,32.63,46.54
15-08-2022,17.3,43.15,1.34,7.77,9.38,14.67,1.06,28.22,32.01,69.6,2.02,107.29,108.81,741,33.15,53
16-08-2022,11.32,44.44,1.33,6.39,8.29,16.78,1,32.68,31.73,69.03,5.46,134.69,65.4,741,32.21,50
17-08-2022,8.64,28.36,1.41,6.94,7.93,13.59,1.05,32.09,31.52,67.86,4.32,147.38,125.7,741,32.98,52.5
18-08-2022,14.51,52.21,1.36,8.39,8.63,10.31,1,39.17,31.37,64.9,1.51,109.35,144.58,741,34.7,52.21
19-08-2022,12.93,58.38,1.35,9.45,7.91,13.51,1.14,43.51,30.83,61.75,2.32,57.18,143.02,741,35.49,58.38
20-08-2022,24.82,71.55,1.37,13.12,6.94,13.36,1.13,32.37,32.01,72.8,0.71,81.66,56.01,741,32.42,71.55
21-08-2022,50.8,119.67,1.27,13.16,8.44,19.8,0.73,43.95,31.64,68.52,1.16,69.69,166.71,741,34.58,113.1133333
22-08-2022,19.54,134.28,1.33,9.59,7.45,10.87,0.55,42.12,31.01,60.3,3.03,133.17,154.38,740.89,36.75,122.8533333
23-08-2022,18.49,133.9,1.32,7.06,7.24,13.01,0.95,41.34,31.37,65.36,5.67,141.84,134.6,741,34.13,122.6
24-08-2022,13.87,52.1,1.29,8.28,8.15,12.38,0.93,31.52,31.48,70.34,3.3,146.31,91.9,741.02,32.48,52.1
25-08-2022,19.19,71.75,1.32,8.04,10.45,14.92,1.04,37.04,31.29,63.51,1.12,107,154.47,741.08,34.35,71.75
26-08-2022,28.21,104.05,1.35,12.32,9.18,16.49,0.74,46.1,30.6,62.51,2.43,61.38,184.77,741,35.45,102.7
27-08-2022,24.08,108.78,1.27,9.54,7.52,15.32,0.92,51.54,30.38,56.58,3.04,57.94,172.19,741,37.35,105.8533333
28-08-2022,27.04,128.09,1.32,11.53,8.16,14.53,0.99,31.27,31.14,61.74,0.87,75.54,42.31,741,34.29,118.7266667
29-08-2022,30.81,122.28,1.27,10.01,9.24,14.04,0.86,46.43,31.1,62.68,1.57,95.21,136.69,741.51,34.45,114.8533333
30-08-2022,35.32,94.4,1.34,14.19,9.26,13.47,0.95,44.86,31.58,69.05,0.85,91.82,100.75,741.34,33.44,94.4
31-08-2022,40.91,155.26,1.32,16.51,8.13,19.71,0.62,46,30.64,62.53,1,45.52,144.14,741.17,36.02,136.84
01-09-2022,42.46,152.4,1.5,18.55,7.61,16.24,0.75,52.18,30.52,61.06,1.14,65.36,125.93,741.16,36.61,134.9333333
02-09-2022,35.91,121.17,1.29,14.66,8.03,21.2,1,44.98,31.11,63.71,1.22,92.01,108.25,741.31,34.93,114.1133333
03-09-2022,25.44,105.38,1.42,11.15,6.87,18.35,0.86,33.01,29.9,58.29,2.04,52.03,150.67,741,36.18,103.5866667
04-09-2022,20.64,91.04,1.28,10,7.2,16.62,0.92,34.75,30.33,54.9,1.27,79.15,151.2,741,36.66,91.04
05-09-2022,22.9,100.53,1.31,11.93,7.07,21.69,1.06,38.66,30.57,55.65,1.33,73.46,141.28,741.15,36.07,100.3533333
06-09-2022,44.28,147.58,1.26,18.2,7.48,29.4,0.71,42.52,30.75,58.53,0.85,90.48,116.23,741.24,35.52,131.72
07-09-2022,55.51,159.34,1.41,18.84,7.83,37.08,0.71,54.17,30.43,58.38,1.03,79.86,142.09,741.48,35.81,139.56
08-09-2022,78.32,181.28,1.39,16.47,7.76,31.29,0.89,50.33,30.53,59.74,1.3,102.65,126.82,741.65,36.16,161.0666667
09-09-2022,51.08,107.94,1.33,9.54,7.72,20.13,0.82,43.32,31.2,64.2,1.75,135.67,123.22,741.39,35.77,105.2933333
10-09-2022,44.05,90.72,1.36,9.71,6.84,17.56,0.85,36.22,30.94,67.65,1.69,147.52,102.59,741.27,34.9,90.72
11-09-2022,25.73,62.06,1.4,7.35,6.29,11.83,0.76,37.75,30.93,60.85,2.34,141.76,138.92,741.04,35.46,62.06
12-09-2022,18.24,63.02,1.38,8.54,6.91,16.34,1.36,35.75,31.29,59.21,2.83,141.38,133.25,741,35.36,68
13-09-2022,10.23,44.91,1.34,7.21,7.28,17.3,0.81,27.61,31.51,62.78,2.93,133.78,125.62,741,33.69,44.91
14-09-2022,11.2,39.1,1.28,6.06,7.7,16.52,1.37,27.44,31.23,67.59,2.9,124.88,87.74,741,31.99,68.5
15-09-2022,9.69,25.32,1.31,6.51,8.42,16.35,1.09,23.1,31.84,73.86,2.16,102.93,63.69,741,30.04,54.5
16-09-2022,14,29.64,1.38,10.12,9,21.06,1.09,17.39,32.82,80.46,1.36,81.79,41.78,740.74,27.48,54.5
17-09-2022,24.93,63.09,1.37,9.1,7.94,27.16,0.95,39.87,31.07,69.89,1.4,112.84,129.41,741,31.63,63.09
18-09-2022,45.97,204.22,1.31,12.7,7.77,23.85,0.92,40.82,31.52,66.55,1.03,92.43,111.14,741.12,32.69,169.48
19-09-2022,63.84,147.59,1.35,14.63,7.09,24.02,0.75,33.16,31.36,69.41,1.13,68.45,68.45,741,32.17,131.7266667
20-09-2022,39,103.25,1.45,14.99,8.36,20.56,0.69,21.68,31.66,72.28,0.85,112.08,85.44,741.02,31.26,102.1666667
21-09-2022,44.59,91.62,1.27,13.77,8.54,24.03,0.66,15.68,32.38,78.22,0.81,95.89,48.12,741.04,29.39,91.62
22-09-2022,23.86,39.35,1.27,10.57,8.55,30.25,1.07,15.65,32.9,82.14,1.31,98.36,20.84,741,27.65,53.5
23-09-2022,22.29,30.07,1.38,9.01,4.89,15.76,0.89,22.16,32.22,82.06,1.83,125.79,47.4,741,27.81,44.5
24-09-2022,14.58,23.65,1.27,10.23,6.12,13.94,0.96,20.74,31.52,81.88,3.4,144.56,30.47,741,28.07,48
25-09-2022,20.42,51.74,1.29,8.16,5.15,16.22,1.12,30.82,31.88,74.88,0.64,110.6,90.92,741.03,30.49,56
26-09-2022,41.12,125.56,1.27,13.16,5.63,19.72,1,33.93,31.97,73.49,0.65,90.14,108.41,741.34,30.94,117.04
27-09-2022,43.58,156.56,1.38,16.77,4.87,26.37,0.92,33.33,31.49,69.59,0.77,52.22,130.71,741.25,31.71,137.7066667
28-09-2022,61.83,212.61,1.29,18.87,4.77,32.64,0.68,41.53,31.39,67.32,0.54,64.02,123.46,741.21,32.53,175.0733333
29-09-2022,71.46,191.26,1.43,19.01,5.46,37.47,0.75,41.8,31.41,65.69,0.77,60.4,119.86,741.17,32.03,160.84
30-09-2022,89.57,215.64,1.45,20.28,4.76,40.88,0.61,40.23,31.27,67.35,0.55,53.76,112.45,741.24,32.17,198.5666667
01-10-2022,101.38,238.49,1.43,21.97,4.77,35.08,0.63,35.16,31.33,66.46,0.59,98.88,109.81,741.16,32.1,237.9333333
02-10-2022,80,199.8,1.05,16.2,4.73,27.05,0.38,38.17,30.78,60.93,0.97,64.6,123.58,741.19,32.88,166.6666667
03-10-2022,46.15,166.68,0.91,14.32,4.75,26.85,0.63,33.46,30.97,57.85,1.41,58.29,124.94,741.22,32.43,144.4533333
04-10-2022,82.13,223.74,1.17,19.48,5,46.79,0.73,52.25,31.12,57.19,0.57,69.39,108.92,741.53,33.36,182.4933333
05-10-2022,92.99,175.6,1.08,16.21,4.48,36.77,0.53,27.35,31.43,70.74,0.9,113.62,90.24,741.36,30.29,209.9666667
06-10-2022,9.18,39.88,1.14,5.89,5.15,16.99,0.98,18.74,31.14,72.14,1.77,145.17,76.56,741.59,27.75,49
07-10-2022,8.06,27.44,1.01,6.85,5.24,16.35,1.01,17.77,31.44,78.22,0.95,136.05,39.07,741.82,26.18,50.5
08-10-2022,7.35,11.97,1.01,4.81,5.14,15.18,1,18.44,31.92,82.45,1.78,132.67,26.74,741.81,23.77,50
09-10-2022,5.6,6.59,0.89,5.31,6.64,10.05,0.62,16.54,32.83,82.21,0.73,258.91,23.81,741.56,23.1,31
10-10-2022,8.58,16.1,0.83,5.87,7.44,14.52,0.75,16.64,32.13,81.05,0.77,306.15,41.67,742,23.61,37.5
11-10-2022,24.99,103.96,1.23,10.77,6.77,19.45,0.46,18.34,31.92,77.72,0.3,269.32,78.06,741.85,26.99,102.64
12-10-2022,70.4,143.66,1.04,20.59,8.02,20.77,0.22,32.98,31.44,72.17,0.3,69.45,107.74,742,28.58,134.6666667
13-10-2022,53.6,160.95,1.39,21.82,6.34,17.16,0.41,25.87,29.38,64.7,0.3,55.64,120.3,742,28.18,140.6333333
14-10-2022,71.08,176.77,1.43,18.68,19.53,18.34,0.15,18.57,33.57,63.01,0.3,55.51,119.14,742,28.35,151.18
